"Spec" "R" "Pvals" "gps.names.spc.vectors.pvals.....Group"
"ame_qua" "ame_qua" 0.0147596700596754 0.9079 "Herbivores"
"and_alf" "and_alf" 0.0862760369390297 0.3413 "Herbivores"
"and_api" "and_api" 0.133665369583094 0.1198 "Herbivores"
"and_ass" "and_ass" 0.11818000358846 0.1593 "Herbivores"
"and_bic" "and_bic" 0.0787316306691075 0.3007 "Herbivores"
"and_bim" "and_bim" 0.141969825990203 0.0865 "Herbivores"
"and_cin" "and_cin" 0.0270276152310135 0.7622 "Herbivores"
"and_com" "and_com" 0.0255115007505768 0.7663 "Herbivores"
"and_den" "and_den" 0.178688896647037 0.0526 "Herbivores"
"and_dor" "and_dor" 0.165624059786793 0.0672 "Herbivores"
"and_fla" "and_fla" 0.112139295884685 0.1878 "Herbivores"
"and_flo" "and_flo" 0.158649111637954 0.0743 "Herbivores"
"and_ful" "and_ful" 0.258601174748261 0.0108 "Herbivores"
"and_gel" "and_gel" 0.049456854268744 0.5325 "Herbivores"
"and_gra" "and_gra" 0.0540552442626172 0.4853 "Herbivores"
"and_hae" "and_hae" 0.371640724128068 0.0016 "Herbivores"
"and_hat" "and_hat" 0.021282438445473 0.731 "Herbivores"
"and_lab" "and_lab" 0.0676422962188658 0.3807 "Herbivores"
"and_min" "and_min" 0.0536959856946119 0.4594 "Herbivores"
"and_mit" "and_mit" 0.257741157914706 0.0095 "Herbivores"
"and_nas" "and_nas" 0.0500350367724925 0.4741 "Herbivores"
"and_nig" "and_nig" 0.244927520626671 0.0118 "Herbivores"
"and_nit" "and_nit" 0.0873827555849129 0.2668 "Herbivores"
"and_pil" "and_pil" 0.165869397561229 0.0742 "Herbivores"
"and_sim" "and_sim" 0.0758973920913372 0.3427 "Herbivores"
"and_sub" "and_sub" 0.0598505040238171 0.4243 "Herbivores"
"and_tho" "and_tho" 0.387732761075634 6e-04 "Herbivores"
"and_vag" "and_vag" 0.0442774269339845 0.5588 "Herbivores"
"and_wil" "and_wil" 0.245856400243425 0.0116 "Herbivores"
"ant_str" "ant_str" 0.128076690487317 0.1377 "Herbivores"
"pse_lit" "pse_lit" 0.133621550150497 0.0305 "Herbivores"
"ant_man" "ant_man" 0.22760012897082 0.0187 "Herbivores"
"ant_pun" "ant_pun" 0.251228620914275 0.0159 "Herbivores"
"osm_spi" "osm_spi" 0.0943955858386648 0.2285 "Herbivores"
"ant_bim" "ant_bim" 0.0759201233039248 0.3199 "Herbivores"
"ant_fur" "ant_fur" 0.264954781621252 0.0114 "Herbivores"
"ant_qua" "ant_qua" 0.0862760369390297 0.3413 "Herbivores"
"bom_con" "bom_con" 0.0338172291535271 0.6828 "Herbivores"
"bom_hor" "bom_hor" 0.0932847534724296 0.2466 "Herbivores"
"bom_hum" "bom_hum" 0.0535703695111226 0.482 "Herbivores"
"bom_hyp" "bom_hyp" 0.053224477269095 0.4506 "Herbivores"
"bom_lap" "bom_lap" 0.16888628627166 0.0695 "Herbivores"
"bom_mus" "bom_mus" 0.118338802044108 0.1553 "Herbivores"
"bom_pas" "bom_pas" 0.365973699386214 0.0013 "Herbivores"
"bom_pra" "bom_pra" 0.107490935107268 0.1849 "Herbivores"
"bom_rud" "bom_rud" 0.215808943898412 0.0302 "Herbivores"
"bom_sch" "bom_sch" 0.291161935787638 0.0036 "Herbivores"
"bom_sem" "bom_sem" 0.122093273136454 0.138 "Herbivores"
"bom_sor" "bom_sor" 0.00585931498117899 0.9144 "Herbivores"
"bom_sub" "bom_sub" 0.120801674247083 0.093 "Herbivores"
"bom_syl" "bom_syl" 0.0348588951028992 0.6003 "Herbivores"
"bom_ter.luc" "bom_ter.luc" 0.02629028130584 0.6872 "Herbivores"
"bom_vet" "bom_vet" 0.00326078347080151 0.9494 "Herbivores"
"cer_cya" "cer_cya" 0.0302514126235315 0.6523 "Herbivores"
"meg_eri" "meg_eri" 0.00726338724419868 0.9625 "Herbivores"
"che_rap" "che_rap" 0.0936256104837852 0.3138 "Herbivores"
"col_cun" "col_cun" 0.0448373327221928 0.5097 "Herbivores"
"col_dav" "col_dav" 0.122217013133054 0.1532 "Herbivores"
"col_fod" "col_fod" 0.448375220633302 5e-04 "Herbivores"
"col_mar" "col_mar" 0.0519690214530899 0.4714 "Herbivores"
"col_nas" "col_nas" 0.0479268244133723 0.5108 "Herbivores"
"col_sim" "col_sim" 0.0640756939300686 0.3706 "Herbivores"
"das_arg" "das_arg" 0.0340065608493412 0.7486 "Herbivores"
"das_hir" "das_hir" 0.103954506225837 0.2061 "Herbivores"
"euc_lon" "euc_lon" 0.167013722072313 0.055 "Herbivores"
"hal_con" "hal_con" 0.0213116362640478 0.7316 "Herbivores"
"hal_gav" "hal_gav" 0.0309905683294496 0.8181 "Herbivores"
"hal_leu" "hal_leu" 0.0641418313037345 0.3769 "Herbivores"
"hal_mac" "hal_mac" 0.0259450481257027 0.6833 "Herbivores"
"hal_qua" "hal_qua" 0.162271959047207 0.0757 "Herbivores"
"hal_rub" "hal_rub" 0.0290379663467183 0.6781 "Herbivores"
"hal_sex" "hal_sex" 0.0871395225279026 0.2617 "Herbivores"
"hal_sim" "hal_sim" 0.114511859737074 0.1706 "Herbivores"
"hal_sub" "hal_sub" 0.0964269885446689 0.2291 "Herbivores"
"hal_tum" "hal_tum" 0.254841786141241 0.0146 "Herbivores"
"her_cre" "her_cre" 0.0473814185042289 0.487 "Herbivores"
"her_tru" "her_tru" 0.0158220575440605 0.8052 "Herbivores"
"hop_adu" "hop_adu" 0.0869173169479921 0.2712 "Herbivores"
"hop_cla" "hop_cla" 0.0525553164316797 0.4997 "Herbivores"
"hop_leu" "hop_leu" 0.113450599374649 0.158 "Herbivores"
"hop_tri" "hop_tri" 0.0340065608493412 0.7486 "Herbivores"
"hyl_ang" "hyl_ang" 0.0236372010615053 0.87 "Herbivores"
"hyl_bre" "hyl_bre" 0.0279061322452051 0.6713 "Herbivores"
"hyl_com" "hyl_com" 0.115286934214072 0.1617 "Herbivores"
"hyl_con" "hyl_con" 0.351380067198687 0.0017 "Herbivores"
"hyl_dif" "hyl_dif" 0.0446091719352777 0.5259 "Herbivores"
"hyl_dil" "hyl_dil" 0.137614223744794 0.1167 "Herbivores"
"hyl_gib" "hyl_gib" 0.0400409329426235 0.5566 "Herbivores"
"hyl_gre" "hyl_gre" 0.0236372010615053 0.87 "Herbivores"
