"Cluster" "IndicatorValue" "Probability" "group"
"cra_cri" 1 0.768 0.0001000100010001 "Predators"
"tac_pom" 1 0.761609907120743 0.0003000300030003 "Predators"
"oxy_bip" 1 0.658823529411765 0.0003000300030003 "Predators"
"lin_pyg" 1 0.633333333333333 0.0007000700070007 "Predators"
"lin_alb" 1 0.618800358102059 0.0158015801580158 "Predators"
"and_hae" 1 0.56 0.0043004300430043 "Herbivores"
"oxy_tri" 1 0.466666666666667 0.0113011301130113 "Predators"
"and_ful" 1 0.41025641025641 0.0313031303130313 "Herbivores"
"dui_tri" 1 0.4 0.0105010501050105 "Predators"
"ent_bre" 1 0.3 0.0483048304830483 "Predators"
"epe_var" 2 0.652173913043478 0.0003000300030003 "Kleptoparasites"
"bom_pas" 2 0.596774193548387 0.0003000300030003 "Herbivores"
"tet_sal" 2 0.571116408422725 0.031003100310031 "Herbivores"
"cer_qui" 2 0.520833333333333 0.0176017601760176 "Predators"
"and_dor" 2 0.512820512820513 0.0275027502750275 "Herbivores"
"sph_pun" 2 0.5 0.0019001900190019 "Kleptoparasites"
"hed_nie" 2 0.5 0.0012001200120012 "Kleptoparasites"
"meg_mar" 2 0.49645390070922 0.0376037603760376 "Herbivores"
"tac_pan" 2 0.479452054794521 0.004000400040004 "Predators"
"ant_pun" 2 0.471976401179941 0.0146014601460146 "Herbivores"
"bom_rud" 2 0.465162311955661 0.0472047204720472 "Herbivores"
"hal_tum" 2 0.458488228004957 0.0388038803880388 "Herbivores"
"ant_fur" 2 0.428921568627451 0.0315031503150315 "Herbivores"
"and_tho" 2 0.416666666666667 0.0065006500650065 "Herbivores"
"cer_ruf" 2 0.399159663865546 0.0186018601860186 "Predators"
"ant_man" 2 0.398936170212766 0.0155015501550155 "Herbivores"
"col_qua" 2 0.333333333333333 0.028002800280028 "Kleptoparasites"
"ect_rub" 3 0.883636363636364 0.0001000100010001 "Predators"
"ect_con" 3 0.876315789473684 0.0001000100010001 "Predators"
"ect_div" 3 0.780861244019139 0.0001000100010001 "Predators"
"ect_cont" 3 0.724210526315789 0.0001000100010001 "Predators"
"try_dec" 3 0.698181818181818 0.0003000300030003 "Predators"
"ect_lap" 3 0.682926829268293 0.0002000200020002 "Predators"
"try_att" 3 0.564705882352941 0.0025002500250025 "Predators"
"pem_let" 3 0.543396226415094 0.0017001700170017 "Predators"
"try_min" 3 0.522935779816514 0.0059005900590059 "Predators"
"col_fod" 3 0.51348182883939 0.0365036503650365 "Herbivores"
"pem_ino" 3 0.5 0.002000200020002 "Predators"
"las_luc" 3 0.388489208633093 0.0273027302730273 "Herbivores"
"hyl_con" 3 0.362637362637363 0.0265026502650265 "Herbivores"
"thy_his" 3 0.3 0.0458045804580458 "Kleptoparasites"
