"RDA1" "RDA2" "" ""
"ame_qua" 0.892886169740061 0.450282453452189 0.0160283059077142 0.874
"amm_pun" 0.752009886987915 -0.659151826116277 0.0678320067247926 0.432
"and_alf" 0.187811743270514 0.982205044321037 0.0909026362356063 0.314
"and_api" 0.413663988531117 -0.910429626381154 0.133939352693988 0.13
"and_ass" -0.788863525136691 0.614568416621708 0.11903682033232 0.151
"and_bic" 0.688402874814074 0.725328533802247 0.078701388587646 0.292
"and_bim" 0.99996225797204 -0.00868807409383408 0.141473163313368 0.095
"and_cin" -0.00461530946981198 -0.999989349402531 0.0272787048625826 0.76
"and_com" 0.959350775625252 -0.282216387382496 0.0251871183386942 0.768
"and_den" 0.870185457667813 0.492724333946944 0.176423287368728 0.049
"and_dor" 0.574600744071994 0.818433861049206 0.162789903870958 0.101
"and_fla" -0.102114569502037 0.994772644726127 0.112790178221226 0.176
"and_flo" -0.870881769817284 -0.49149256657646 0.154979620096928 0.076
"and_ful" -0.946440199964758 -0.322879153694799 0.255729452838622 0.01
"and_gel" -0.999070545326348 -0.0431050514593558 0.0497076327101991 0.542
"and_gra" 0.908560153136673 0.417754052203285 0.052468988046386 0.478
"and_hae" -0.758385615635471 -0.65180615062855 0.369564783055183 0.002
"and_hat" -0.336270622684474 0.941765399831293 0.0243822991459367 0.699
"and_lab" -0.580191714366333 -0.814479941177593 0.0672983400244946 0.381
"and_min" -0.854787295457188 -0.518978496206717 0.0513145705960923 0.476
"and_mil" 0.137811636518684 0.990458455888001 0.259102111959354 0.013
"and_nas" 0.0701055292829866 0.997539580550041 0.0468306726208534 0.499
"and_nig" 0.568129262810462 0.822939329925627 0.247578259543389 0.016
"and_nit" 0.445583872589645 -0.895240198208288 0.0876137357915371 0.269
"and_pil" 0.292979622016697 0.956118685667712 0.170675229931189 0.061
"and_sim" 0.389244798054642 0.921134348066231 0.0766419310447401 0.322
"and_sub" 0.936888727160045 0.349627677566338 0.0588898907574429 0.444
"and_tho" 0.216573581410448 0.976266297602786 0.392685028060157 0.002
"and_vag" -0.837542663824358 -0.546371930349647 0.0455015593182215 0.542
"and_wil" 0.266124553456731 0.963938650562086 0.254746091001751 0.011
"ant_str" -0.999950443947331 -0.00995538294265986 0.125277433740579 0.158
"ant_lit" 0.169611692197802 0.985510970953544 0.135443047217319 0.024
"ant_man" 0.032627762251308 0.999467572825888 0.238488221342008 0.02
"ant_pun" -0.124361151111449 0.9922370201188 0.253250059606996 0.017
"ant_spi" 0.887641832107254 -0.460534448107063 0.0940663947601328 0.233
"ant_bim" 0.885230727607722 0.465152188965186 0.0745367249437168 0.337
"ant_fur" -0.759390962294695 0.650634587449159 0.263828383243314 0.014
"ant_qua" 0.187811743270514 0.982205044321037 0.0909026362356063 0.314
"bom_boh" -0.0571814158793972 -0.998363804270782 0.181746279713754 0.039
"bom_cam" 0.274960107426361 -0.961455635650488 0.127227825797937 0.144
"bom_con" -0.910484753409718 0.413542638440638 0.0339126435711033 0.688
"bom_hor" -0.323904945742459 0.946089629011742 0.0894054827537022 0.286
"bom_hum" 0.343517675088614 0.939146211674047 0.0565292511032752 0.478
"bom_hyp" -0.856354921380915 -0.516387692171965 0.0549132402492064 0.458
"bom_lap" 0.408432595473153 0.912788483141118 0.17698523852576 0.053
"bom_luc" 0.468212948379613 0.883615660210744 0.493547597625264 0.001
"bom_mus" -0.585370227766752 0.810766116980909 0.118202208316401 0.166
"bom_pas" 0.770442963380721 0.637508933409668 0.369950537402018 0.001
"bom_pra" 0.39057171413482 0.920572504541488 0.114090493275321 0.162
"bom_qua" -0.686570882913087 0.727062873990926 0.022145009090845 0.828
"bom_rud" 0.579379101987947 0.815058191897756 0.225548269560024 0.033
"bom_rup" -0.419624861712417 -0.907697623348676 0.206436710589195 0.035
"bom_sch" 0.130803222853053 0.991408350222679 0.301361384652317 0.005
"bom_sem" 0.548587605033828 0.836093080705282 0.123807360411451 0.13
"bom_sor" -0.950345154749941 0.311197825897468 0.00584316932802013 0.904
"bom_sub" -0.832086894300927 -0.554645292355968 0.117368203947653 0.118
"bom_syl" -0.992573799210462 0.121643960478564 0.0351162261103504 0.61
"bom_sylv" -0.78750445533966 -0.616308958899824 0.0539811870483773 0.446
"bom_ter" 0.403295442145317 -0.915069825939427 0.0263309991852382 0.696
"bom_ves" -0.332851821899593 0.94297914327843 0.00903462749601406 1
"bom_vet" -0.224816396974437 -0.974401143088119 0.00429708533569685 0.946
"cer_cya" 0.307380865109268 -0.951586571870725 0.0298106117135174 0.664
"cha_eri" 0.971745140792667 -0.23603258534753 0.00720487920995183 0.971
"che_rap" -0.997654123097572 -0.0684561952376427 0.0937492281875309 0.31
"coe_ala" 0.941762536161978 -0.336278642619122 0.0499123908113009 0.483
"coe_aur" -0.332851821899593 0.94297914327843 0.00903462749601406 1
"coe_con" 0.987710547446422 0.156294192032493 0.0949870912481924 0.227
"coe_elo" 0.625548948318151 0.78018492247547 0.0205452503973441 0.889
"coe_man" 0.250286009025172 -0.968171944277592 0.11339618945514 0.184
"coe_ruf" -0.667717067277025 -0.744415151690889 0.0462958328494931 0.536
"col_qua" 0.177183016084212 0.984177920302677 0.365526562537636 0.001
"col_cun" -0.971664631612437 -0.23636379518333 0.0468930222500601 0.494
"col_dav" 0.994547907069862 -0.10428068154245 0.122880998444099 0.147
"col_fod" 0.893211368706746 -0.449637021177107 0.44876576935973 0.001
"col_mar" 0.378536522339632 0.925586355374266 0.0519914025334132 0.439
"col_nas" 0.998644099515732 0.0520573001836724 0.0476593044326375 0.511
"col_sim" 0.983793758802624 -0.179303764993945 0.0627717274345985 0.402
"das_arg" -0.00198318180934424 0.999998033493022 0.0376488926342233 0.757
"das_hir" -0.893297733071542 0.449465415898981 0.103664265324153 0.189
"epe_coe" 0.905651192146319 -0.424023487750326 0.0325956732690155 0.626
"epe_var" 0.790572763590215 0.612368112714346 0.375925222747201 0.003
"euc_lon" 0.407366555168951 0.913264742410317 0.171720205673281 0.056
"hal_con" 0.247609136975212 -0.968860008095282 0.020277733322264 0.772
"hal_gav" -0.033562953935186 0.999436605354809 0.0295787211858687 0.837
"hal_leu" 0.809950473275951 0.586498278633504 0.0668607205391112 0.35
"hal_mac" -0.390441821156586 0.920627603481412 0.0276886431061109 0.69
"hal_qua" -0.974079720722204 -0.226204990390913 0.160073377221011 0.081
"hal_rub" -0.187738881735811 -0.982218973694047 0.028210696151122 0.683
"hal_sex" 0.992141678305778 -0.125119503549981 0.086662880883953 0.273
"hal_sim" 0.196910584506721 0.980421451065419 0.119118933642862 0.158
"hal_sub" -0.965238128309841 -0.261372063650486 0.0926077310717432 0.255
"hal_tum" 0.333810382542245 0.9426402434158 0.262928298735111 0.014
"her_cre" -0.346082953404987 -0.938203916727319 0.052545899105703 0.458
"her_tru" -0.952933758989307 -0.303178579353008 0.016378806637555 0.799
"hop_adu" 0.522409237215743 0.852694897880634 0.0893898335992727 0.256
"hop_cla" -0.220243974212643 0.975444817415634 0.0549838125974804 0.491
"hop_leu" 0.919630798392318 -0.392783903244911 0.113405904865032 0.157
"hop_tri" -0.00198318180934424 0.999998033493022 0.0376488926342233 0.757
"hyl_ang" 0.625548948318151 0.78018492247547 0.0205452503973441 0.889
"hyl_bre" -0.094533164274468 -0.995521712898446 0.0299977805485126 0.641
"hyl_com" -0.531326682193956 -0.847167018237114 0.115519763935843 0.151
"hyl_con" 0.902889895613664 -0.429871883703443 0.35170701378764 0.002
"hyl_dif" 0.361247066612186 0.932470137250567 0.0489054727511025 0.479
"hyl_dil" 0.612736416469182 0.79028734263716 0.145551602794291 0.092
"hyl_gib" 0.815012968754954 0.579442715685715 0.0381240582103809 0.581
"hyl_gre" 0.625548948318151 0.78018492247547 0.0205452503973441 0.889
"hyl_nig" -0.711617939468396 0.702566657497176 0.0786079041235047 0.336
"hyl_rin" 0.187811743270514 0.982205044321037 0.0909026362356063 0.314
"hyl_sty" 0.380750201052158 0.924677935499026 0.0503099082695859 0.456
"las_alb" 0.802178842934808 -0.597083833266127 0.124992112470729 0.148
"las_bre" -0.115862911174823 0.993265214237414 0.0105544495308733 0.967
"las_cal" -0.0343892170202326 -0.999408515949677 0.00254766665230744 0.97
"las_cos" 0.746343850888536 0.665560557906544 0.23039378872385 0.018
"las_fra" 0.752009886987915 -0.659151826116278 0.0678320067247926 0.432
"las_ful" -0.996731244850991 -0.0807887711120394 0.111867712463923 0.161
"las_lat" -0.900376041297653 -0.435112611006815 0.241030250056453 0.004
"las_leu" 0.0573704973745375 -0.998352956639584 0.138960500737994 0.119
"las_leuc" 0.431163426475103 -0.902273849599028 0.0949101977588512 0.217
"las_lin" 0.862034378787652 -0.506849809892622 0.00122666579280263 0.984
"las_luc" 0.837804253608767 -0.54597072507146 0.232382588071165 0.02
"las_qua" 0.752009886987915 -0.659151826116277 0.0678320067247926 0.432
"las_maj" 0.985921148190657 -0.167210913371157 0.132108437768967 0.124
"las_min" -0.432956291830352 -0.90141491521081 0.00656767807857101 0.899
"las_mor" 0.070087379150294 -0.997540855947185 0.0670854428708886 0.403
"las_pau" 0.470284869393586 -0.88251466935086 0.0671502416223938 0.384
"las_pun" 0.187811743270514 0.982205044321037 0.0909026362356063 0.314
"las_sex" -0.791636156654503 0.610992794947115 0.0444948051682484 0.528
"las_sexs" 0.497909586911645 -0.86722894512434 0.0252989915137029 0.798
"las_sub" 0.680437985492128 -0.732805668577567 0.094517716734459 0.293
"las_vil" 0.855593533776922 -0.517648244427737 0.0184252209683062 0.769
"las_zon" 0.653995841406867 -0.756498142378766 0.0438706925238485 0.509
"mac_eur" -0.994934763335955 0.10052271736094 0.144435429587401 0.106
"meg_alp" -0.0654920131464558 0.997853093503259 0.0632942665321495 0.49
"meg_cen" -0.908936439473478 -0.416934705916018 0.00739035274208131 0.904
"meg_cir" 0.0600610590104677 0.998194705050343 0.211132467301901 0.016
"meg_lag" -0.240163152227307 -0.970732537989864 0.0225524413542062 0.787
"meg_lig" -0.833889902252509 -0.551930820774941 0.115621218393353 0.177
"meg_mar" 0.247885166289213 0.968789422079829 0.0969271875597286 0.236
"meg_pli" 0.703396018134066 0.710798172249437 0.0197565399696608 0.75
"meg_rot" 0.0701055292829866 0.997539580550041 0.0468306726208534 0.499
"meg_ver" -0.320236667472464 0.947337572782865 0.0479229258065711 0.476
"meg_wil" -0.775993324669439 -0.630741119690536 0.0828606967410794 0.28
