"RDA1" "RDA2" "" ""
"ame_qua" 0.964111634590355 0.26549718651525 0.0147596700596754 0.909
"and_alf" 0.152944560020163 0.988234770467139 0.0862760369390297 0.393
"and_api" 0.438865250380395 -0.898552887708093 0.133665369583094 0.116
"and_ass" -0.814319680524864 0.580416624425838 0.11818000358846 0.161
"and_bic" 0.66275826288966 0.748833416035556 0.0787316306691075 0.275
"and_bim" 0.9996238452417 0.0274256818365283 0.141969825990203 0.078
"and_cin" 0.0262286690445773 -0.999655969281507 0.0270276152310135 0.746
"and_com" 0.977307121470007 -0.211827265298895 0.0255115007505768 0.762
"and_den" 0.85083436627962 0.525433993150003 0.178688896647037 0.054
"and_dor" 0.545286243604771 0.838249910548995 0.165624059786793 0.068
"and_fla" -0.132711693790977 0.991154683352266 0.112139295884685 0.193
"and_flo" -0.849832079151731 -0.52705354305293 0.158649111637954 0.075
"and_ful" -0.933219672376484 -0.359306335999698 0.258601174748261 0.01
"and_gel" -0.997664464836268 -0.0683053116745879 0.049456854268744 0.534
"and_gra" 0.888069600974442 0.459709020821971 0.0540552442626172 0.482
"and_hae" -0.735678575692137 -0.677330815235502 0.371640724128068 0.003
"and_hat" -0.421170434670149 0.90698151301984 0.021282438445473 0.714
"and_lab" -0.55295567552675 -0.83321067018057 0.0676422962188658 0.414
"and_min" -0.828220847983979 -0.560401844183885 0.0536959856946119 0.448
"and_mit" 0.106406462281927 0.994322716619028 0.257741157914706 0.007
"and_nas" 0.0508742750944964 0.998705065639305 0.0500350367724925 0.492
"and_nig" 0.541176626274175 0.84090894820694 0.244927520626671 0.016
"and_nit" 0.470778218511443 -0.882251590520069 0.0873827555849129 0.267
"and_pil" 0.260335040611845 0.965518340907944 0.165869397561229 0.072
"and_sim" 0.357675113282998 0.933846086535674 0.0758973920913372 0.339
"and_sub" 0.920569756209678 0.390578191854146 0.0598505040238171 0.43
"and_tho" 0.184900721307806 0.982757204633908 0.387732761075634 0.002
"and_vag" -0.824008645295925 -0.566577225519677 0.0442774269339845 0.56
"and_wil" 0.234054431072913 0.972223494519205 0.245856400243425 0.01
"ant_str" -0.997991775468055 -0.063343635024514 0.128076690487317 0.149
"pse_lit" 0.138287739280797 0.99039209465979 0.133621550150497 0.035
"ant_man" -0.00552845547879442 0.999984717973239 0.22760012897082 0.019
"ant_pun" -0.155012078125548 0.987912574894762 0.251228620914275 0.011
"osm_spi" 0.893193285947395 -0.449672941078842 0.0943955858386648 0.218
"ant_bim" 0.866206585275564 0.499686053062567 0.0759201233039248 0.301
"ant_fur" -0.771949777116652 0.635683523154054 0.264954781621252 0.009
"ant_qua" 0.152944560020163 0.988234770467139 0.0862760369390297 0.393
"bom_con" -0.929446529421593 0.368956838866223 0.0338172291535271 0.683
"bom_hor" -0.332784298924757 0.943002974750959 0.0932847534724296 0.247
"bom_hum" 0.312818046970831 0.949813070814123 0.0535703695111226 0.491
